household_id,city_id,household_type_en,total_households,total_households_with_car,household_hascar_perc_of_total,cardata_year
15951,281,1 person Household,372,272,73.12,2022
16316,354,1 person Household,23416,10479,44.75,2022
16521,395,1 person Household,2577,1526,59.22,2022
16636,419,1 person Household,950,590,62.11,2022
17051,502,1 person Household,636,440,69.18,2022
17086,509,1 person Household,6274,2824,45.01,2022
17361,564,1 person Household,1237,731,59.09,2022
17656,40,1 person Household,873,541,61.97,2023
18256,160,1 person Household,4966,3173,63.89,2023
18451,199,1 person Household,938,605,64.5,2023
19301,369,1 person Household,1966,1181,60.07,2023
19471,403,1 person Household,3205,1922,59.97,2023
19581,425,1 person Household,4462,2522,56.52,2023
19811,471,1 person Household,2412,1468,60.86,2023
20076,524,1 person Household,1981,1215,61.33,2023
26,6,1 person Household,1695,1034,61.0,2017
31,7,1 person Household,1275,776,60.86,2017
56,12,1 person Household,1517,867,57.15,2017
366,74,1 person Household,6993,2577,36.85,2017
451,91,1 person Household,1643,852,51.86,2017
656,132,1 person Household,1112,685,61.6,2017
826,166,1 person Household,2068,1285,62.14,2017
1251,251,1 person Household,460,335,72.83,2017
1341,269,1 person Household,1822,1240,68.06,2017
2111,424,1 person Household,1770,979,55.31,2017
2241,450,1 person Household,645,393,60.93,2017
2431,488,1 person Household,2004,1138,56.79,2017
2746,551,1 person Household,1046,650,62.14,2017
2756,553,1 person Household,929,562,60.5,2017
2776,557,1 person Household,1298,785,60.48,2017
2781,558,1 person Household,4196,2005,47.78,2017
2846,571,1 person Household,2614,1534,58.68,2017
2946,8,1 person Household,1469,912,62.08,2018
3061,31,1 person Household,2002,1251,62.49,2018
3311,81,1 person Household,13999,2695,19.25,2018
3546,128,1 person Household,2461,1313,53.35,2018
3551,129,1 person Household,12137,5592,46.07,2018
3581,135,1 person Household,740,433,58.51,2018
3916,202,1 person Household,4467,2279,51.02,2018
3921,203,1 person Household,492,337,68.5,2018
4156,250,1 person Household,659,434,65.86,2018
4311,281,1 person Household,348,219,62.93,2018
4381,295,1 person Household,473,311,65.75,2018
5211,462,1 person Household,876,536,61.19,2018
5506,521,1 person Household,1515,958,63.23,2018
5656,551,1 person Household,1059,670,63.27,2018
5946,26,1 person Household,2399,1509,62.9,2019
5956,28,1 person Household,1328,865,65.14,2019
6436,124,1 person Household,1663,1133,68.13,2019
7011,239,1 person Household,4459,2260,50.68,2019
7271,291,1 person Household,1097,630,57.43,2019
7691,375,1 person Household,5565,3400,61.1,2019
8351,508,1 person Household,914,615,67.29,2019
8521,542,1 person Household,3962,2319,58.53,2019
8841,23,1 person Household,4246,2419,56.97,2020
9036,62,1 person Household,2929,1895,64.7,2020
9171,89,1 person Household,4735,2575,54.38,2020
9191,93,1 person Household,1094,663,60.6,2020
10221,299,1 person Household,711,447,62.87,2020
10341,323,1 person Household,345,249,72.17,2020
10981,452,1 person Household,1227,783,63.81,2020
11196,495,1 person Household,1237,914,73.89,2020
11426,541,1 person Household,1328,796,59.94,2020
11691,11,1 person Household,2848,1714,60.18,2021
11846,42,1 person Household,4117,2060,50.04,2021
11916,56,1 person Household,4436,2575,58.05,2021
12826,238,1 person Household,2340,1510,64.53,2021
12866,246,1 person Household,828,486,58.7,2021
12891,251,1 person Household,504,359,71.23,2021
13306,334,1 person Household,772,493,63.86,2021
13411,355,1 person Household,650,466,71.69,2021
13556,384,1 person Household,4770,2581,54.11,2021
13686,410,1 person Household,2144,1359,63.39,2021
14186,511,1 person Household,641,426,66.46,2021
14291,532,1 person Household,915,573,62.62,2021
14541,582,1 person Household,303,203,67.0,2021
14681,27,1 person Household,903,576,63.79,2022
14901,71,1 person Household,47003,10045,21.37,2022
14976,86,1 person Household,16357,7178,43.88,2022
15251,141,1 person Household,1586,1039,65.51,2022
15486,188,1 person Household,814,516,63.39,2022
15686,228,1 person Household,412,290,70.39,2022
15711,233,1 person Household,379,281,74.14,2022
15826,256,1 person Household,392,270,68.88,2022
15861,263,1 person Household,15586,7815,50.14,2022
16026,296,1 person Household,734,492,67.03,2022
16246,340,1 person Household,880,629,71.48,2022
16796,451,1 person Household,846,525,62.06,2022
16871,466,1 person Household,836,536,64.11,2022
16961,484,1 person Household,1294,838,64.76,2022
17201,532,1 person Household,907,573,63.18,2022
17761,61,1 person Household,1180,750,63.56,2023
18031,115,1 person Household,1421,931,65.52,2023
18216,152,1 person Household,1578,1026,65.02,2023
18491,207,1 person Household,640,462,72.19,2023
18516,212,1 person Household,2766,1596,57.7,2023
18531,215,1 person Household,548,362,66.06,2023
19721,453,1 person Household,1114,716,64.27,2023
19826,474,1 person Household,2717,1813,66.73,2023
19846,478,1 person Household,3370,2094,62.14,2023
61,13,1 person Household,4613,2784,60.35,2017
811,163,1 person Household,1181,698,59.1,2017
941,189,1 person Household,2030,1308,64.43,2017
1111,223,1 person Household,2203,1019,46.26,2017
1181,237,1 person Household,5883,2820,47.93,2017
2016,404,1 person Household,728,450,61.81,2017
2461,494,1 person Household,647,423,65.38,2017
2531,508,1 person Household,856,569,66.47,2017
2576,517,1 person Household,772,486,62.95,2017
2761,554,1 person Household,312,195,62.5,2017
3711,161,1 person Household,3761,2256,59.98,2018
4221,263,1 person Household,14616,7033,48.12,2018
4431,305,1 person Household,674,447,66.32,2018
4476,314,1 person Household,747,472,63.19,2018
4666,352,1 person Household,765,534,69.8,2018
4836,386,1 person Household,3065,1667,54.39,2018
4986,417,1 person Household,3638,2103,57.81,2018
6136,64,1 person Household,3155,1649,52.27,2019
6916,220,1 person Household,798,460,57.64,2019
7161,269,1 person Household,1934,1317,68.1,2019
7226,282,1 person Household,973,627,64.44,2019
7376,312,1 person Household,970,607,62.58,2019
7386,314,1 person Household,775,478,61.68,2019
7611,359,1 person Household,1926,1138,59.09,2019
7901,418,1 person Household,1136,708,62.32,2019
8261,490,1 person Household,4427,2439,55.09,2019
8361,510,1 person Household,1121,745,66.46,2019
8596,557,1 person Household,1342,831,61.92,2019
9061,67,1 person Household,1450,960,66.21,2020
9076,70,1 person Household,21506,5747,26.72,2020
9721,199,1 person Household,828,563,68.0,2020
10196,294,1 person Household,1913,1201,62.78,2020
10591,373,1 person Household,1756,1057,60.19,2020
10701,395,1 person Household,2455,1459,59.43,2020
10946,445,1 person Household,955,571,59.79,2020
10956,447,1 person Household,1594,1079,67.69,2020
11236,503,1 person Household,737,495,67.16,2020
11271,510,1 person Household,1198,799,66.69,2020
11321,520,1 person Household,588,363,61.73,2020
11551,566,1 person Household,2678,1532,57.21,2020
11851,43,1 person Household,1371,734,53.54,2021
12221,117,1 person Household,1400,677,48.36,2021
12281,129,1 person Household,12939,6086,47.04,2021
12701,213,1 person Household,720,498,69.17,2021
12776,228,1 person Household,385,270,70.13,2021
13281,329,1 person Household,4090,2338,57.16,2021
13366,346,1 person Household,825,587,71.15,2021
13376,348,1 person Household,1480,856,57.84,2021
13451,363,1 person Household,1228,712,57.98,2021
13591,391,1 person Household,1953,1115,57.09,2021
13636,400,1 person Household,581,383,65.92,2021
13656,404,1 person Household,798,490,61.4,2021
13701,413,1 person Household,982,683,69.55,2021
14241,522,1 person Household,1151,705,61.25,2021
14616,14,1 person Household,3093,1999,64.63,2022
14786,48,1 person Household,3066,1883,61.42,2022
14846,60,1 person Household,1000,594,59.4,2022
15216,134,1 person Household,2242,1237,55.17,2022
15506,192,1 person Household,1941,1221,62.91,2022
15736,238,1 person Household,2401,1557,64.85,2022
15971,285,1 person Household,5818,3121,53.64,2022
16036,298,1 person Household,1128,634,56.21,2022
16391,369,1 person Household,1906,1141,59.86,2022
16396,370,1 person Household,2010,1259,62.64,2022
16406,372,1 person Household,1904,1174,61.66,2022
16436,378,1 person Household,2306,1519,65.87,2022
16951,482,1 person Household,1818,1116,61.39,2022
16956,483,1 person Household,2522,1604,63.6,2022
16976,487,1 person Household,5023,2576,51.28,2022
17031,498,1 person Household,1971,1191,60.43,2022
17301,552,1 person Household,705,446,63.26,2022
17576,24,1 person Household,1246,779,62.52,2023
17741,57,1 person Household,2389,1468,61.45,2023
18061,121,1 person Household,1584,1067,67.36,2023
18501,209,1 person Household,1807,1024,56.67,2023
18526,214,1 person Household,382,275,71.99,2023
18831,275,1 person Household,473,297,62.79,2023
19111,331,1 person Household,873,597,68.38,2023
19166,342,1 person Household,1697,975,57.45,2023
19686,446,1 person Household,5311,3101,58.39,2023
20281,565,1 person Household,779,494,63.41,2023
236,48,1 person Household,2727,1596,58.53,2017
646,130,1 person Household,1010,624,61.78,2017
736,148,1 person Household,1123,512,45.59,2017
1171,235,1 person Household,605,368,60.83,2017
1296,260,1 person Household,1431,885,61.84,2017
1366,274,1 person Household,255,178,69.8,2017
1931,387,1 person Household,2029,1176,57.96,2017
2411,484,1 person Household,1171,728,62.17,2017
2441,490,1 person Household,4475,2497,55.8,2017
2706,543,1 person Household,1361,822,60.4,2017
2791,560,1 person Household,2500,1294,51.76,2017
2851,572,1 person Household,2566,1430,55.73,2017
3016,22,1 person Household,1301,710,54.57,2018
3211,61,1 person Household,1053,616,58.5,2018
3216,62,1 person Household,2740,1737,63.39,2018
3561,131,1 person Household,549,324,59.02,2018
3726,164,1 person Household,1984,1233,62.15,2018
3776,174,1 person Household,770,468,60.78,2018
4001,219,1 person Household,504,343,68.06,2018
5016,423,1 person Household,2379,1254,52.71,2018
5041,428,1 person Household,4431,2540,57.32,2018
5141,448,1 person Household,5171,2711,52.43,2018
5261,472,1 person Household,1647,1013,61.51,2018
6641,165,1 person Household,2249,1431,63.63,2019
6721,181,1 person Household,867,541,62.4,2019
6866,210,1 person Household,1188,784,65.99,2019
6881,213,1 person Household,675,459,68.0,2019
7561,349,1 person Household,607,406,66.89,2019
8376,513,1 person Household,2764,1790,64.76,2019
8526,543,1 person Household,1423,888,62.4,2019
8696,577,1 person Household,3717,2142,57.63,2019
9381,131,1 person Household,560,342,61.07,2020
9391,133,1 person Household,2671,1446,54.14,2020
10316,318,1 person Household,340,230,67.65,2020
10456,346,1 person Household,801,565,70.54,2020
10666,388,1 person Household,193,137,70.98,2020
10721,399,1 person Household,5136,2849,55.47,2020
10791,413,1 person Household,979,672,68.64,2020
11176,491,1 person Household,2226,1473,66.17,2020
11446,545,1 person Household,1111,677,60.94,2020
11786,30,1 person Household,3154,1884,59.73,2021
12111,95,1 person Household,20464,9464,46.25,2021
12226,118,1 person Household,3356,1861,55.45,2021
12356,144,1 person Household,785,511,65.1,2021
12906,254,1 person Household,541,347,64.14,2021
13946,463,1 person Household,23675,8225,34.74,2021
14251,524,1 person Household,1878,1157,61.61,2021
14771,45,1 person Household,1484,937,63.14,2022
14851,61,1 person Household,1174,745,63.46,2022
14886,68,1 person Household,2463,1492,60.58,2022
15056,102,1 person Household,2260,1275,56.42,2022
15481,187,1 person Household,4699,2705,57.57,2022
15521,195,1 person Household,4636,2577,55.59,2022
15646,220,1 person Household,827,488,59.01,2022
15881,267,1 person Household,2266,1435,63.33,2022
15966,284,1 person Household,2861,1710,59.77,2022
16051,301,1 person Household,255,152,59.61,2022
16581,407,1 person Household,1567,981,62.6,2022
16766,445,1 person Household,1041,646,62.06,2022
17371,566,1 person Household,2831,1631,57.61,2022
17546,18,1 person Household,2180,1410,64.68,2023
18101,129,1 person Household,13441,6417,47.74,2023
19796,468,1 person Household,1551,1040,67.05,2023
19821,473,1 person Household,1106,743,67.18,2023
19886,486,1 person Household,1765,1251,70.88,2023
20056,520,1 person Household,618,391,63.27,2023
20081,525,1 person Household,5065,2020,39.88,2023
20146,538,1 person Household,1304,731,56.06,2023
20291,567,1 person Household,9840,5359,54.46,2023
20366,582,1 person Household,315,221,70.16,2023
421,85,1 person Household,7703,3779,49.06,2017
531,107,1 person Household,3023,1480,48.96,2017
926,186,1 person Household,3044,1753,57.59,2017
1021,205,1 person Household,1072,662,61.75,2017
1096,220,1 person Household,784,417,53.19,2017
1696,340,1 person Household,782,545,69.69,2017
1816,364,1 person Household,548,285,52.01,2017
2086,419,1 person Household,806,510,63.28,2017
2096,421,1 person Household,1452,853,58.75,2017
2346,471,1 person Household,2113,1253,59.3,2017
2641,530,1 person Household,2409,1121,46.53,2017
2806,563,1 person Household,803,519,64.63,2017
2841,570,1 person Household,1213,721,59.44,2017
3041,27,1 person Household,853,516,60.49,2018
3221,63,1 person Household,1213,696,57.38,2018
3401,99,1 person Household,522,307,58.81,2018
3416,102,1 person Household,2091,1113,53.23,2018
4106,240,1 person Household,506,337,66.6,2018
4166,252,1 person Household,558,428,76.7,2018
4541,327,1 person Household,1809,1058,58.49,2018
4681,355,1 person Household,593,405,68.3,2018
5246,469,1 person Household,1515,836,55.18,2018
5541,528,1 person Household,1212,775,63.94,2018
5701,560,1 person Household,2581,1327,51.41,2018
5836,4,1 person Household,341,205,60.12,2019
6041,45,1 person Household,1391,895,64.34,2019
6266,90,1 person Household,1464,853,58.27,2019
6356,108,1 person Household,4463,2385,53.44,2019
6446,126,1 person Household,699,441,63.09,2019
6581,153,1 person Household,706,441,62.46,2019
6586,154,1 person Household,2295,1422,61.96,2019
6661,169,1 person Household,1129,684,60.58,2019
7366,310,1 person Household,312,176,56.41,2019
7421,321,1 person Household,327,192,58.72,2019
7501,337,1 person Household,2760,1332,48.26,2019
7626,362,1 person Household,751,521,69.37,2019
7926,423,1 person Household,2392,1282,53.6,2019
7981,434,1 person Household,997,628,62.99,2019
8861,27,1 person Household,866,525,60.62,2020
9426,140,1 person Household,426,259,60.8,2020
9651,185,1 person Household,1619,1066,65.84,2020
10831,422,1 person Household,613,425,69.33,2020
10876,431,1 person Household,2360,1524,64.58,2020
11111,478,1 person Household,3147,1906,60.57,2020
11251,506,1 person Household,1016,677,66.63,2020
11291,514,1 person Household,1032,697,67.54,2020
11696,12,1 person Household,1645,929,56.47,2021
12021,77,1 person Household,3442,1026,29.81,2021
12156,104,1 person Household,1766,955,54.08,2021
12396,152,1 person Household,1484,970,65.36,2021
12516,176,1 person Household,6,4,66.67,2021
12661,205,1 person Household,1170,761,65.04,2021
12761,225,1 person Household,936,571,61.0,2021
12791,231,1 person Household,4290,2476,57.72,2021
12951,263,1 person Household,15441,7609,49.28,2021
13251,323,1 person Household,376,268,71.28,2021
13346,342,1 person Household,1633,927,56.77,2021
13756,425,1 person Household,4137,2293,55.43,2021
14226,519,1 person Household,5058,3128,61.84,2021
14806,52,1 person Household,1349,860,63.75,2022
15026,96,1 person Household,1713,996,58.14,2022
15171,125,1 person Household,1013,544,53.7,2022
15461,183,1 person Household,2322,1429,61.54,2022
15726,236,1 person Household,2306,1469,63.7,2022
15761,243,1 person Household,1963,1079,54.97,2022
16011,293,1 person Household,197,128,64.97,2022
16426,376,1 person Household,2561,1445,56.42,2022
16826,457,1 person Household,1324,931,70.32,2022
17446,581,1 person Household,1491,960,64.39,2022
18346,178,1 person Household,1241,806,64.95,2023
18356,180,1 person Household,1352,861,63.68,2023
18876,284,1 person Household,2848,1734,60.88,2023
18981,305,1 person Household,755,516,68.34,2023
19046,318,1 person Household,334,218,65.27,2023
19141,337,1 person Household,2949,1472,49.92,2023
121,25,1 person Household,1550,930,60.0,2017
166,34,1 person Household,5420,2759,50.9,2017
196,40,1 person Household,703,448,63.73,2017
891,179,1 person Household,2750,1640,59.64,2017
1371,275,1 person Household,400,260,65.0,2017
1376,276,1 person Household,1210,709,58.6,2017
1571,315,1 person Household,934,570,61.03,2017
2246,451,1 person Household,800,495,61.88,2017
2561,514,1 person Household,986,636,64.5,2017
2721,546,1 person Household,4496,2541,56.52,2017
3156,50,1 person Household,1484,933,62.87,2018
3906,200,1 person Household,2032,1156,56.89,2018
3986,216,1 person Household,739,474,64.14,2018
4251,269,1 person Household,1864,1274,68.35,2018
4626,344,1 person Household,674,404,59.94,2018
4661,351,1 person Household,2319,1435,61.88,2018
4776,374,1 person Household,1068,740,69.29,2018
5186,457,1 person Household,1196,801,66.97,2018
5396,499,1 person Household,1622,1029,63.44,2018
5536,527,1 person Household,19897,9948,50.0,2018
5726,565,1 person Household,717,463,64.57,2018
5966,30,1 person Household,3107,1826,58.77,2019
6316,100,1 person Household,974,569,58.42,2019
6596,156,1 person Household,3640,2021,55.52,2019
7111,259,1 person Household,1390,892,64.17,2019
7241,285,1 person Household,5332,2927,54.89,2019
7556,348,1 person Household,1402,818,58.35,2019
7846,406,1 person Household,4966,2839,57.17,2019
8091,456,1 person Household,1233,770,62.45,2019
8371,512,1 person Household,1170,726,62.05,2019
8461,530,1 person Household,2434,1134,46.59,2019
8486,535,1 person Household,3722,2233,59.99,2019
8566,551,1 person Household,1046,661,63.19,2019
8571,552,1 person Household,679,418,61.56,2019
8741,3,1 person Household,1505,942,62.59,2020
9266,108,1 person Household,4547,2464,54.19,2020
9541,163,1 person Household,1308,783,59.86,2020
9576,170,1 person Household,1193,802,67.23,2020
9996,254,1 person Household,532,343,64.47,2020
10071,269,1 person Household,1978,1359,68.71,2020
10106,276,1 person Household,1234,763,61.83,2020
10161,287,1 person Household,2441,1323,54.2,2020
10231,301,1 person Household,251,159,63.35,2020
10356,326,1 person Household,1284,754,58.72,2020
10381,331,1 person Household,784,554,70.66,2020
10416,338,1 person Household,444,273,61.49,2020
10811,418,1 person Household,1170,748,63.93,2020
10841,424,1 person Household,1851,1012,54.67,2020
11841,41,1 person Household,5097,3136,61.53,2021
12401,153,1 person Household,739,459,62.11,2021
12546,182,1 person Household,3392,2036,60.02,2021
12551,183,1 person Household,2242,1379,61.51,2021
12571,187,1 person Household,4495,2584,57.49,2021
12851,243,1 person Household,1933,1054,54.53,2021
13016,276,1 person Household,1263,801,63.42,2021
13121,297,1 person Household,284,195,68.66,2021
13801,434,1 person Household,1018,664,65.23,2021
13846,443,1 person Household,682,418,61.29,2021
13941,462,1 person Household,931,595,63.91,2021
14061,486,1 person Household,1662,1163,69.98,2021
14091,492,1 person Household,1039,652,62.75,2021
14116,497,1 person Household,5109,3148,61.62,2021
14516,577,1 person Household,3847,2243,58.31,2021
15036,98,1 person Household,3289,1691,51.41,2022
15936,278,1 person Household,10541,4924,46.71,2022
16031,297,1 person Household,293,194,66.21,2022
16971,486,1 person Household,1688,1197,70.91,2022
17236,539,1 person Household,1619,956,59.05,2022
17496,8,1 person Household,1749,1080,61.75,2023
17561,21,1 person Household,5870,3633,61.89,2023
17571,23,1 person Household,4587,2628,57.29,2023
17616,32,1 person Household,2625,1608,61.26,2023
17871,83,1 person Household,6075,897,14.77,2023
17876,84,1 person Household,13659,5179,37.92,2023
18406,190,1 person Household,2037,1321,64.85,2023
18711,251,1 person Household,526,369,70.15,2023
18751,259,1 person Household,1510,1004,66.49,2023
19031,315,1 person Household,1100,709,64.45,2023
19161,341,1 person Household,949,635,66.91,2023
19186,346,1 person Household,819,597,72.89,2023
19201,349,1 person Household,680,455,66.91,2023
19861,481,1 person Household,1252,808,64.54,2023
19901,489,1 person Household,1635,1054,64.46,2023
20116,532,1 person Household,910,577,63.41,2023
20231,555,1 person Household,5159,2799,54.25,2023
81,17,1 person Household,3167,1954,61.7,2017
301,61,1 person Household,1014,594,58.58,2017
331,67,1 person Household,1359,863,63.5,2017
581,117,1 person Household,1365,602,44.1,2017
676,136,1 person Household,3010,1552,51.56,2017
1206,242,1 person Household,1074,704,65.55,2017
2551,512,1 person Household,1061,657,61.92,2017
2811,564,1 person Household,973,539,55.4,2017
3031,25,1 person Household,1608,981,61.01,2018
3681,155,1 person Household,457,264,57.77,2018
3826,184,1 person Household,3672,2295,62.5,2018
3991,217,1 person Household,795,496,62.39,2018
4081,235,1 person Household,581,357,61.45,2018
4101,239,1 person Household,4385,2175,49.6,2018
4121,243,1 person Household,1857,984,52.99,2018
4186,256,1 person Household,348,226,64.94,2018
4466,312,1 person Household,956,588,61.51,2018
4471,313,1 person Household,488,297,60.86,2018
5091,438,1 person Household,706,436,61.76,2018
6156,68,1 person Household,2259,1359,60.16,2019
6411,119,1 person Household,2816,1476,52.41,2019
6561,149,1 person Household,1024,648,63.28,2019
6656,168,1 person Household,877,537,61.23,2019
6991,235,1 person Household,620,375,60.48,2019
7836,404,1 person Household,751,475,63.25,2019
8011,440,1 person Household,5142,3119,60.66,2019
8541,546,1 person Household,4573,2636,57.64,2019
8726,583,1 person Household,2824,1756,62.18,2019
8866,28,1 person Household,1350,894,66.22,2020
8881,31,1 person Household,2144,1350,62.97,2020
8931,41,1 person Household,4944,3060,61.89,2020
9006,56,1 person Household,4356,2541,58.33,2020
9011,57,1 person Household,2168,1356,62.55,2020
9846,224,1 person Household,353,250,70.82,2020
9871,229,1 person Household,720,504,70.0,2020
9881,231,1 person Household,4192,2377,56.7,2020
10006,256,1 person Household,353,226,64.02,2020
10621,379,1 person Household,3670,1915,52.18,2020
10806,417,1 person Household,3767,2190,58.14,2020
10906,437,1 person Household,1271,824,64.83,2020
11516,559,1 person Household,1297,763,58.83,2020
11961,65,1 person Household,1448,882,60.91,2021
12031,79,1 person Household,23058,6255,27.13,2021
12046,82,1 person Household,14990,4000,26.68,2021
12241,121,1 person Household,1511,1027,67.97,2021
12286,130,1 person Household,1133,733,64.7,2021
12371,147,1 person Household,2952,1506,51.02,2021
12521,177,1 person Household,3400,2197,64.62,2021
12996,272,1 person Household,1692,1136,67.14,2021
13256,324,1 person Household,578,387,66.96,2021
13326,338,1 person Household,447,271,60.63,2021
13901,454,1 person Household,1002,675,67.37,2021
14001,474,1 person Household,2701,1822,67.46,2021
14236,521,1 person Household,1635,1061,64.89,2021
14561,3,1 person Household,1607,1003,62.41,2022
15476,186,1 person Household,3440,2038,59.24,2022
15526,196,1 person Household,552,379,68.66,2022
15851,261,1 person Household,774,514,66.41,2022
15906,272,1 person Household,1703,1158,68.0,2022
15946,280,1 person Household,1978,1295,65.47,2022
16076,306,1 person Household,1743,1069,61.33,2022
16361,363,1 person Household,1241,740,59.63,2022
16996,491,1 person Household,2237,1499,67.01,2022
17061,504,1 person Household,1155,761,65.89,2022
17096,511,1 person Household,660,435,65.91,2022
17181,528,1 person Household,1290,819,63.49,2022
17651,39,1 person Household,1365,844,61.83,2023
17786,66,1 person Household,2472,1551,62.74,2023
17821,73,1 person Household,16699,3617,21.66,2023
18026,114,1 person Household,1682,910,54.1,2023
18646,238,1 person Household,2426,1616,66.61,2023
18821,273,1 person Household,620,444,71.61,2023
18856,280,1 person Household,1989,1306,65.66,2023
19036,316,1 person Household,847,540,63.75,2023
19466,402,1 person Household,1523,934,61.33,2023
19546,418,1 person Household,1254,820,65.39,2023
19556,420,1 person Household,4142,2316,55.92,2023
20186,546,1 person Household,4821,2804,58.16,2023
20306,570,1 person Household,1414,865,61.17,2023
36,8,1 person Household,1393,854,61.31,2017
246,50,1 person Household,1492,923,61.86,2017
381,77,1 person Household,3391,1061,31.29,2017
756,152,1 person Household,1326,803,60.56,2017
786,158,1 person Household,1132,744,65.72,2017
1041,209,1 person Household,1713,890,51.96,2017
1276,256,1 person Household,338,231,68.34,2017
1326,266,1 person Household,12530,5904,47.12,2017
1531,307,1 person Household,492,334,67.89,2017
1806,362,1 person Household,712,494,69.38,2017
2091,420,1 person Household,3583,1910,53.31,2017
2496,501,1 person Household,411,256,62.29,2017
2821,566,1 person Household,2497,1394,55.83,2017
3381,95,1 person Household,19621,9011,45.93,2018
3576,134,1 person Household,2041,1105,54.14,2018
3736,166,1 person Household,2123,1300,61.23,2018
3806,180,1 person Household,1128,701,62.15,2018
4041,227,1 person Household,3723,1989,53.42,2018
4271,273,1 person Household,544,403,74.08,2018
4281,275,1 person Household,404,263,65.1,2018
4786,376,1 person Household,2377,1342,56.46,2018
5131,446,1 person Household,4867,2877,59.11,2018
5191,458,1 person Household,789,457,57.92,2018
5486,517,1 person Household,739,503,68.06,2018
5551,530,1 person Household,2401,1121,46.69,2018
5796,579,1 person Household,1463,934,63.84,2018
6291,95,1 person Household,19710,9158,46.46,2019
6566,150,1 person Household,689,387,56.17,2019
7196,276,1 person Household,1248,760,60.9,2019
7211,279,1 person Household,678,460,67.85,2019
7286,294,1 person Household,1922,1172,60.98,2019
8271,492,1 person Household,967,599,61.94,2019
8286,495,1 person Household,1244,892,71.7,2019
8676,573,1 person Household,1748,983,56.24,2019
8971,49,1 person Household,2052,1336,65.11,2020
9771,209,1 person Household,1804,966,53.55,2020
9911,237,1 person Household,6084,3011,49.49,2020
10441,343,1 person Household,1358,863,63.55,2020
10476,350,1 person Household,744,477,64.11,2020
11886,50,1 person Household,1661,1063,64.0,2021
11931,59,1 person Household,7526,3770,50.09,2021
12121,97,1 person Household,5356,2884,53.85,2021
12171,107,1 person Household,3259,1707,52.38,2021
12251,123,1 person Household,1755,1195,68.09,2021
12461,165,1 person Household,2286,1476,64.57,2021
12616,196,1 person Household,537,349,64.99,2021
13006,274,1 person Household,275,199,72.36,2021
13776,429,1 person Household,1246,786,63.08,2021
13816,437,1 person Household,1319,878,66.57,2021
14036,481,1 person Household,1184,780,65.88,2021
14191,512,1 person Household,1186,746,62.9,2021
14876,66,1 person Household,2370,1504,63.46,2022
15106,112,1 person Household,2044,1079,52.79,2022
15786,248,1 person Household,52373,20378,38.91,2022
15886,268,1 person Household,2346,1171,49.91,2022
16271,345,1 person Household,3845,2321,60.36,2022
16281,347,1 person Household,766,522,68.15,2022
16311,353,1 person Household,1743,1113,63.86,2022
